year,avg_temp,Mov_Global,,,,,year,avg_temp,Mov_Riyadh
1843,8.17,#N/A,,,,,1843,24.74,#N/A
1844,7.65,#N/A,,,,,1844,15.45,#N/A
1845,7.85,#N/A,,,,,1845,20.82,#N/A
1846,8.55,#N/A,,,,,1846,,#N/A
1847,8.09,8.062,,,,,1847,,20.33666667
1848,7.98,8.024,,,,,1848,24.56,20.27666667
1849,7.98,8.09,,,,,1849,24.8,23.39333333
1850,7.9,8.1,,,,,1850,24.34,24.56666667
1851,8.18,8.026,,,,,1851,25.03,24.6825
1852,8.1,8.028,,,,,1852,24.85,24.716
1853,8.04,8.04,,,,,1853,24.93,24.79
1854,8.21,8.086,,,,,1854,24.72,24.774
1855,8.11,8.128,,,,,1855,24.92,24.89
1856,8,8.092,,,,,1856,24.57,24.798
1857,7.76,8.024,,,,,1857,24.26,24.68
1858,8.1,8.036,,,,,1858,25.01,24.696
1859,8.25,8.044,,,,,1859,24.95,24.742
1860,7.96,8.014,,,,,1860,24.94,24.746
1861,7.85,7.984,,,,,1861,24.13,24.658
1862,7.56,7.944,,,,,1862,23.77,24.56
1863,8.11,7.946,,,,,1863,24.28,24.414
1864,7.98,7.892,,,,,1864,25.03,24.43
1865,8.18,7.936,,,,,1865,25.23,24.488
1866,8.29,8.024,,,,,1866,24.92,24.646
1867,8.44,8.2,,,,,1867,25.22,24.936
1868,8.25,8.228,,,,,1868,25,25.08
1869,8.43,8.318,,,,,1869,25.3,25.134
1870,8.2,8.322,,,,,1870,25.02,25.092
1871,8.12,8.288,,,,,1871,24.73,25.054
1872,8.19,8.238,,,,,1872,24.87,24.984
1873,8.35,8.258,,,,,1873,25.24,25.032
1874,8.43,8.258,,,,,1874,24.98,24.968
1875,7.86,8.19,,,,,1875,24.43,24.85
1876,8.08,8.182,,,,,1876,24.89,24.882
1877,8.54,8.252,,,,,1877,25.47,25.002
1878,8.83,8.348,,,,,1878,25.51,25.056
1879,8.17,8.296,,,,,1879,25.24,25.108
1880,8.12,8.348,,,,,1880,24.8,25.182
1881,8.27,8.386,,,,,1881,25.63,25.33
1882,8.13,8.304,,,,,1882,24.66,25.168
1883,7.98,8.134,,,,,1883,25.19,25.104
1884,7.77,8.054,,,,,1884,24.8,25.016
1885,7.92,8.014,,,,,1885,24.98,25.052
1886,7.95,7.95,,,,,1886,24.98,24.922
1887,7.91,7.906,,,,,1887,24.81,24.952
1888,8.09,7.928,,,,,1888,25.13,24.94
1889,8.32,8.038,,,,,1889,25.52,25.084
1890,7.97,8.048,,,,,1890,25.07,25.102
1891,8.02,8.062,,,,,1891,25.39,25.184
1892,8.07,8.094,,,,,1892,25.22,25.266
1893,8.06,8.088,,,,,1893,25.19,25.278
1894,8.16,8.056,,,,,1894,24.66,25.106
1895,8.15,8.092,,,,,1895,24.69,25.03
1896,8.21,8.13,,,,,1896,24.88,24.928
1897,8.29,8.174,,,,,1897,24.86,24.856
1898,8.18,8.198,,,,,1898,24.88,24.794
1899,8.4,8.246,,,,,1899,25.12,24.886
1900,8.5,8.316,,,,,1900,25.29,25.006
1901,8.54,8.382,,,,,1901,25.55,25.14
1902,8.3,8.384,,,,,1902,25.25,25.218
1903,8.22,8.392,,,,,1903,24.64,25.17
1904,8.09,8.33,,,,,1904,25.07,25.16
1905,8.23,8.276,,,,,1905,24.87,25.076
1906,8.38,8.244,,,,,1906,24.85,24.936
1907,7.95,8.174,,,,,1907,24.44,24.774
1908,8.19,8.168,,,,,1908,24.95,24.836
1909,8.18,8.186,,,,,1909,25.57,24.936
1910,8.22,8.184,,,,,1910,24.75,24.912
1911,8.18,8.144,,,,,1911,24.24,24.79
1912,8.17,8.188,,,,,1912,24.96,24.894
1913,8.3,8.21,,,,,1913,24.63,24.83
1914,8.59,8.292,,,,,1914,24.94,24.704
1915,8.59,8.366,,,,,1915,25.38,24.83
1916,8.23,8.376,,,,,1916,24.85,24.952
1917,8.02,8.346,,,,,1917,25.03,24.966
1918,8.13,8.312,,,,,1918,24.66,24.972
1919,8.38,8.27,,,,,1919,25.39,25.062
1920,8.36,8.224,,,,,1920,24.94,24.974
1921,8.57,8.292,,,,,1921,24.84,24.972
1922,8.41,8.37,,,,,1922,25.35,25.036
1923,8.42,8.428,,,,,1923,25.1,25.124
1924,8.51,8.454,,,,,1924,25.69,25.184
1925,8.53,8.488,,,,,1925,25,25.196
1926,8.73,8.52,,,,,1926,25.19,25.266
1927,8.52,8.542,,,,,1927,25.29,25.254
1928,8.63,8.584,,,,,1928,25.39,25.312
1929,8.24,8.53,,,,,1929,25.36,25.246
1930,8.63,8.55,,,,,1930,25.39,25.324
1931,8.72,8.548,,,,,1931,25.38,25.362
1932,8.71,8.586,,,,,1932,24.96,25.296
1933,8.34,8.528,,,,,1933,24.67,25.152
1934,8.63,8.606,,,,,1934,24.97,25.074
1935,8.52,8.584,,,,,1935,25.61,25.118
1936,8.55,8.55,,,,,1936,25.15,25.072
1937,8.7,8.548,,,,,1937,25.08,25.096
1938,8.86,8.652,,,,,1938,25.11,25.184
1939,8.76,8.678,,,,,1939,25.16,25.222
1940,8.76,8.726,,,,,1940,25.51,25.202
1941,8.77,8.77,,,,,1941,25.37,25.246
1942,8.73,8.776,,,,,1942,25.49,25.328
1943,8.76,8.756,,,,,1943,24.96,25.298
1944,8.85,8.774,,,,,1944,25.6,25.386
1945,8.58,8.738,,,,,1945,25.3,25.344
1946,8.68,8.72,,,,,1946,25.49,25.368
1947,8.8,8.734,,,,,1947,26,25.47
1948,8.75,8.732,,,,,1948,24.85,25.448
1949,8.59,8.68,,,,,1949,24.82,25.292
1950,8.37,8.638,,,,,1950,24.98,25.228
1951,8.63,8.628,,,,,1951,26.1,25.35
1952,8.64,8.596,,,,,1952,25.72,25.294
1953,8.87,8.62,,,,,1953,25.51,25.426
1954,8.56,8.614,,,,,1954,25.8,25.622
1955,8.63,8.666,,,,,1955,25.33,25.692
1956,8.28,8.596,,,,,1956,25.02,25.476
1957,8.73,8.614,,,,,1957,24.69,25.27
1958,8.77,8.594,,,,,1958,25.64,25.296
1959,8.73,8.628,,,,,1959,24.14,24.964
1960,8.58,8.618,,,,,1960,25.67,25.032
1961,8.8,8.722,,,,,1961,25.12,25.052
1962,8.75,8.726,,,,,1962,26.1,25.334
1963,8.86,8.744,,,,,1963,25.54,25.314
1964,8.41,8.68,,,,,1964,25.14,25.514
1965,8.53,8.67,,,,,1965,25.59,25.498
1966,8.6,8.63,,,,,1966,26.16,25.706
1967,8.7,8.62,,,,,1967,24.87,25.46
1968,8.52,8.552,,,,,1968,25.21,25.394
1969,8.6,8.59,,,,,1969,26.05,25.576
1970,8.7,8.624,,,,,1970,25.84,25.626
1971,8.6,8.624,,,,,1971,24.93,25.38
1972,8.5,8.584,,,,,1972,24.74,25.354
1973,8.95,8.67,,,,,1973,25.6,25.432
1974,8.47,8.644,,,,,1974,25.4,25.302
1975,8.74,8.652,,,,,1975,25.04,25.142
1976,8.35,8.602,,,,,1976,24.97,25.15
1977,8.85,8.672,,,,,1977,25.99,25.4
1978,8.69,8.62,,,,,1978,25.95,25.47
1979,8.73,8.672,,,,,1979,26.2,25.63
1980,8.98,8.72,,,,,1980,25.83,25.788
1981,9.17,8.884,,,,,1981,25.95,25.984
1982,8.64,8.842,,,,,1982,24.62,25.71
1983,9.03,8.91,,,,,1983,24.85,25.49
1984,8.69,8.902,,,,,1984,25.05,25.26
1985,8.66,8.838,,,,,1985,25.3,25.154
1986,8.83,8.77,,,,,1986,25.36,25.036
1987,8.99,8.84,,,,,1987,26.37,25.386
1988,9.2,8.874,,,,,1988,25.99,25.614
1989,8.92,8.92,,,,,1989,25.05,25.614
1990,9.23,9.034,,,,,1990,25.7,25.694
1991,9.18,9.104,,,,,1991,25.43,25.708
1992,8.84,9.074,,,,,1992,24.37,25.308
1993,8.87,9.008,,,,,1993,25.42,25.194
1994,9.04,9.032,,,,,1994,26.08,25.4
1995,9.35,9.056,,,,,1995,25.64,25.388
1996,9.04,9.028,,,,,1996,26.28,25.558
1997,9.2,9.1,,,,,1997,25.49,25.782
1998,9.52,9.23,,,,,1998,26.73,26.044
1999,9.29,9.28,,,,,1999,26.92,26.212
2000,9.2,9.25,,,,,2000,26.55,26.394
2001,9.41,9.324,,,,,2001,26.67,26.472
2002,9.57,9.398,,,,,2002,26.44,26.662
2003,9.53,9.4,,,,,2003,26.62,26.64
2004,9.32,9.406,,,,,2004,26.2,26.496
2005,9.7,9.506,,,,,2005,26.27,26.44
2006,9.53,9.53,,,,,2006,26.24,26.354
2007,9.73,9.562,,,,,2007,26.49,26.364
2008,9.43,9.542,,,,,2008,26.21,26.282
2009,9.51,9.58,,,,,2009,26.71,26.384
2010,9.7,9.58,,,,,2010,27.37,26.604
2011,9.52,9.578,,,,,2011,26.4,26.636
2012,9.51,9.534,,,,,2012,26.83,26.704
2013,9.61,9.57,,,,,2013,27.78,27.018
